"rank","personName","finalWorth","age","country","industries","selfMade","gdp_country","gross_tertiary_education_enrollment","tax_revenue_country","total_tax_rate_country","population_country","female"
21,"Alice Walton",56700,73,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1
22,"David Thomson & family",54400,65,"Canada","Media & Entertainment",0,1736.42562952,68.9,12.8,24.5,36.991981,0
23,"Michael Dell",50100,58,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
24,"Gautam Adani",47200,60,"India","Diversified",1,2611,28.1,11.2,49.7,1366.417754,0
25,"Phil Knight & family",45100,85,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
26,"Zhang Yiming",45000,39,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
27,"Dieter Schwarz",42900,83,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
28,"François Pinault & family",40100,86,"France","Fashion & Retail",1,2715.518274227,65.6,24.2,60.7,67.059887,0
29,"Klaus-Michael Kuehne",39100,85,"Switzerland","Logistics",0,703.08243536,59.6,10.1,28.8,8.574832,0
30,"Giovanni Ferrero",38900,58,"Belgium","Food & Beverage",0,529.606710418,79.7,24,55.4,11.484055,0
31,"Jacqueline Mars",38300,83,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
31,"John Mars",38300,87,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,0
34,"Ma Huateng",35300,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
35,"Miriam Adelson & family",35000,77,"United States","Gambling & Casinos",0,21427.7,88.2,9.6,36.6,328.239523,1
35,"Ken Griffin",35000,54,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
37,"Mark Mateschitz",34700,30,"Austria","Food & Beverage",0,446.314739528,85.1,25.4,51.4,8.877067,0
38,"Robin Zeng",33400,54,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
39,"Tadashi Yanai & family",32600,74,"Japan","Fashion & Retail",1,5081.76954238,63.2,11.9,46.7,126.226568,0
40,"Len Blavatnik",32100,65,"United Kingdom","Diversified",1,2827.113184696,60,25.5,30.6,66.834405,0
41,"Alain Wertheimer",31600,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
41,"Gerard Wertheimer",31600,72,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
43,"Gianluigi Aponte",31200,82,"Switzerland","Logistics",1,703.08243536,59.6,10.1,28.8,8.574832,0
43,"Rafaela Aponte-Diamant",31200,78,"Switzerland","Logistics",1,703.08243536,59.6,10.1,28.8,8.574832,1
45,"Colin Zheng Huang",30200,43,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
46,"Reinhold Wuerth & family",29700,87,"Germany","Manufacturing",1,3845.630030824,70.2,11.5,48.8,83.132799,0
48,"Jeff Yass",28500,64,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
49,"Jim Simons",28100,84,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
50,"Stephen Schwarzman",27800,76,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
51,"Susanne Klatten",27400,60,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,1
52,"Gina Rinehart",27000,69,"Australia","Metals & Mining",0,1392.680589329,113.1,23,47.4,25.766605,1
53,"William Ding",26700,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
54,"Germán Larrea Mota Velasco & family",26600,69,"Mexico","Metals & Mining",0,1258.286717125,40.2,13.1,55.1,126.014024,0
55,"Shiv Nadar",25600,77,"India","Technology",1,2611,28.1,11.2,49.7,1366.417754,0
56,"Low Tuck Kwong",25500,74,"Indonesia","Energy",1,1119.190780753,36.3,10.2,30.1,270.203917,0
57,"Thomas Peterffy",25300,78,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
58,"Andrey Melnichenko & family",25200,51,"United Arab Emirates","Metals & Mining",1,421.142267938,36.8,0.1,15.9,9.770529,0
59,"Stefan Quandt",24600,56,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,0
60,"MacKenzie Scott",24400,52,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1
61,"R. Budi Hartono",24200,82,"Indonesia","Finance & Investments",0,1119.190780753,36.3,10.2,30.1,270.203917,0
62,"Vladimir Potanin",23700,62,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0
63,"Jack Ma",23500,58,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
64,"He Xiangjian & family",23400,80,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
65,"Iris Fontbona & family",23100,80,"Chile","Metals & Mining",0,282.318159745,88.5,18.2,34,18.952038,1
65,"Michael Hartono",23100,83,"Indonesia","Manufacturing",0,1119.190780753,36.3,10.2,30.1,270.203917,0
67,"James Ratcliffe",22900,70,"United Kingdom","Manufacturing",1,2827.113184696,60,25.5,30.6,66.834405,0
68,"Cyrus Poonawalla",22600,81,"India","Healthcare",0,2611,28.1,11.2,49.7,1366.417754,0
69,"Masayoshi Son",22400,65,"Japan","Telecom",1,5081.76954238,63.2,11.9,46.7,126.226568,0
70,"Vladimir Lisin",22100,66,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0
71,"Emmanuel Besnier",22000,52,"France","Food & Beverage",0,2715.518274227,65.6,24.2,60.7,67.059887,0
72,"Abigail Johnson",21600,61,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,1
72,"Leonid Mikhelson & family",21600,67,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0
74,"Lukas Walton",21200,36,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
74,"Wang Wei",21200,52,"China","Service",1,19910,50.6,9.4,59.2,1397.715,0
76,"Jensen Huang",21100,60,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
77,"Leonard Lauder",21000,90,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,0
77,"Takemitsu Takizaki",21000,77,"Japan","Manufacturing",1,5081.76954238,63.2,11.9,46.7,126.226568,0
79,"Alexey Mordashov & family",20900,57,"Russia","Metals & Mining",1,1699.876578871,81.9,11.4,46.2,144.373535,0
80,"Vagit Alekperov",20500,72,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0
81,"Thomas Frist, Jr. & family",20200,84,"United States","Healthcare",1,21427.7,88.2,9.6,36.6,328.239523,0
82,"Andrew Forrest",19600,61,"Australia","Metals & Mining",1,1392.680589329,113.1,23,47.4,25.766605,0
83,"Ray Dalio",19100,73,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
84,"Eric Li",19000,59,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
84,"Wang Wenyin",19000,55,"China","Metals & Mining",1,19910,50.6,9.4,59.2,1397.715,0
86,"Qin Yinglin",18900,57,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0
88,"Wang Chuanfu",18700,57,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
89,"Harold Hamm & family",18500,77,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
89,"David Tepper",18500,65,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
89,"Gennady Timchenko",18500,70,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0
92,"Daniel Gilbert",18000,61,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
93,"Lakshmi Mittal",17700,72,"United Kingdom","Metals & Mining",0,2827.113184696,60,25.5,30.6,66.834405,0
94,"Steve Cohen",17500,66,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
94,"Carl Icahn",17500,87,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
94,"Savitri Jindal & family",17500,73,"India","Metals & Mining",0,2611,28.1,11.2,49.7,1366.417754,1
97,"Donald Bren",17400,90,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0
97,"John Menard, Jr.",17400,83,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
99,"Rupert Murdoch & family",17100,92,"United States","Media & Entertainment",0,21427.7,88.2,9.6,36.6,328.239523,0
100,"Vicky Safra & family",16700,70,"Switzerland","Finance & Investments",0,703.08243536,59.6,10.1,28.8,8.574832,1
101,"Theo Albrecht, Jr. & family",16500,72,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
101,"Renata Kellnerova & family",16500,55,"Czech Republic","Finance & Investments",0,246.489245495,64.1,14.9,46.1,10.669709,1
103,"Li Xiting",16300,72,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
104,"Stefan Persson",16200,75,"Sweden","Fashion & Retail",0,530.832908738,67,27.9,49.1,10.285453,0
104,"Eric Schmidt",16200,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
106,"Michael Platt",16000,55,"Switzerland","Finance & Investments",1,703.08243536,59.6,10.1,28.8,8.574832,0
107,"Pang Kang",15900,67,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0
108,"Jorge Paulo Lemann & family",15800,83,"Switzerland","Food & Beverage",1,703.08243536,59.6,10.1,28.8,8.574832,0
112,"Dilip Shanghvi",15600,67,"India","Healthcare",1,2611,28.1,11.2,49.7,1366.417754,0
113,"Robert Pera",15500,45,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
114,"Radhakishan Damani",15300,68,"India","Fashion & Retail",1,2611,28.1,11.2,49.7,1366.417754,0
115,"Huang Shilin",15200,56,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
116,"Dhanin Chearavanont",14900,83,"Thailand","Diversified",0,543.649976166,49.3,14.9,29.5,69.625582,0
116,"David Green & family",14900,81,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
118,"Charoen Sirivadhanabhakdi",14800,78,"Thailand","Food & Beverage",1,543.649976166,49.3,14.9,29.5,69.625582,0
119,"Charlene de Carvalho-Heineken & family",14700,68,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,1
120,"Xu Hang",14600,60,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
121,"Wei Jianjun & family",14500,59,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
122,"Alisher Usmanov",14400,69,"Uzbekistan","Metals & Mining",1,57.92128644,10.1,14.8,31.6,33.58065,0
123,"Goh Cheng Liang",14300,95,"Singapore","Manufacturing",1,372.062527489,84.8,13.1,21,5.703569,0
124,"Kumar Birla",14200,55,"India","Diversified",0,2611,28.1,11.2,49.7,1366.417754,0
124,"Aliko Dangote",14200,65,"Nigeria","Manufacturing",1,448.120428859,10.2,1.5,34.8,200.963599,0
127,"Idan Ofer",14000,67,"United Kingdom","Diversified",0,2827.113184696,60,25.5,30.6,66.834405,0
128,"Chen Bang",13900,57,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
130,"John Fredriksen",13700,78,"United Kingdom","Logistics",1,2827.113184696,60,25.5,30.6,66.834405,0
130,"Diane Hendricks",13700,76,"United States","Construction & Engineering",1,21427.7,88.2,9.6,36.6,328.239523,1
130,"Jan Koum",13700,47,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
133,"Jerry Jones",13300,80,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
133,"George Kaiser",13300,80,"United States","Energy",0,21427.7,88.2,9.6,36.6,328.239523,0
136,"Lu Xiangyang",13200,60,"China","Automotive",1,19910,50.6,9.4,59.2,1397.715,0
137,"Harry Triguboff",13100,90,"Australia","Real Estate",1,1392.680589329,113.1,23,47.4,25.766605,0
138,"Uday Kotak",12900,64,"India","Finance & Investments",1,2611,28.1,11.2,49.7,1366.417754,0
138,"Stanley Kroenke",12900,75,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
140,"Mikhail Fridman",12600,58,"United Kingdom","Energy",1,2827.113184696,60,25.5,30.6,66.834405,0
141,"Sarath Ratanavadi",12300,57,"Thailand","Energy",1,543.649976166,49.3,14.9,29.5,69.625582,0
142,"Dang Yanbao",12200,50,"China","Metals & Mining",1,19910,50.6,9.4,59.2,1397.715,0
142,"Jiang Rensheng & family",12200,69,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
144,"Shahid Khan",12100,72,"United States","Automotive",1,21427.7,88.2,9.6,36.6,328.239523,0
145,"Laurene Powell Jobs & family",12000,59,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,1
147,"Stephen Ross",11600,82,"United States","Real Estate",1,21427.7,88.2,9.6,36.6,328.239523,0
148,"Pavel Durov",11500,38,"United Arab Emirates","Technology",1,421.142267938,36.8,0.1,15.9,9.770529,0
148,"Andreas Struengmann & family",11500,73,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0
148,"Thomas Struengmann & family",11500,73,"Germany","Healthcare",1,3845.630030824,70.2,11.5,48.8,83.132799,0
151,"Liu Hanyuan",11400,59,"China","Food & Beverage",1,19910,50.6,9.4,59.2,1397.715,0
151,"Michael Rubin",11400,50,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
153,"Israel Englander",11300,74,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
153,"Viatcheslav Kantor",11300,69,"Israel","Manufacturing",1,395.098666122,63.4,23.1,25.3,9.0533,0
153,"Anthony Pratt",11300,62,"Australia","Manufacturing",0,1392.680589329,113.1,23,47.4,25.766605,0
153,"Mikhail Prokhorov",11300,57,"Switzerland","Finance & Investments",1,703.08243536,59.6,10.1,28.8,8.574832,0
157,"Giorgio Armani",11100,88,"Italy","Fashion & Retail",1,2001.244392042,61.9,24.3,59.1,60.297396,0
157,"Johann Rupert & family",11100,72,"South Africa","Fashion & Retail",0,351.431649241,22.4,27.5,29.2,58.55827,0
159,"Zhang Zhidong",11000,51,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
161,"Philip Anschutz",10900,83,"United States","Finance & Investments",0,21427.7,88.2,9.6,36.6,328.239523,0
161,"Judy Love & family",10900,85,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,1
161,"Ricardo Salinas Pliego & family",10900,67,"Mexico","Fashion & Retail",0,1258.286717125,40.2,13.1,55.1,126.014024,0
164,"Donald Newhouse",10700,93,"United States","Media & Entertainment",0,21427.7,88.2,9.6,36.6,328.239523,0
165,"Robert Kraft",10600,81,"United States","Sports",1,21427.7,88.2,9.6,36.6,328.239523,0
165,"Marcel Herrmann Telles",10600,73,"Brazil","Food & Beverage",1,1839.758040766,51.3,14.2,65.1,212.559417,0
167,"Suleiman Kerimov & family",10500,57,"Russia","Finance & Investments",1,1699.876578871,81.9,11.4,46.2,144.373535,0
167,"Sky Xu",10500,39,"China","Fashion & Retail",1,19910,50.6,9.4,59.2,1397.715,0
167,"Changpeng Zhao",10500,45,"United Arab Emirates","Finance & Investments",1,421.142267938,36.8,0.1,15.9,9.770529,0
170,"Andrew Beal",10300,70,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
171,"Mike Cannon-Brookes",10200,43,"Australia","Technology",1,1392.680589329,113.1,23,47.4,25.766605,0
171,"Carl Cook",10200,60,"United States","Healthcare",0,21427.7,88.2,9.6,36.6,328.239523,0
171,"David Duffield",10200,82,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
171,"Jeffery Hildebrand",10200,64,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
171,"Viktor Rashnikov",10200,74,"Russia","Manufacturing",1,1699.876578871,81.9,11.4,46.2,144.373535,0
171,"Eduardo Saverin",10200,41,"Singapore","Technology",1,372.062527489,84.8,13.1,21,5.703569,0
171,"Georg Schaeffler",10200,58,"Germany","Automotive",0,3845.630030824,70.2,11.5,48.8,83.132799,0
171,"Christy Walton",10200,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1
179,"Scott Farquhar",10100,43,"Australia","Technology",1,1392.680589329,113.1,23,47.4,25.766605,0
179,"Quek Leng Chan",10100,81,"Malaysia","Diversified",0,364.701517788,45.1,12,38.7,32.447385,0
179,"Wu Yajun",10100,59,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,1
182,"Autry Stephens",10000,85,"United States","Energy",1,21427.7,88.2,9.6,36.6,328.239523,0
183,"Liu Yongxing",9900,74,"China","Service",1,19910,50.6,9.4,59.2,1397.715,0
184,"Vinod Adani",9800,74,"United Arab Emirates","Diversified",1,421.142267938,36.8,0.1,15.9,9.770529,0
184,"Nicolas Puech",9800,80,"Switzerland","Fashion & Retail",0,703.08243536,59.6,10.1,28.8,8.574832,0
184,"Jacques Saadé, Jr.",9800,51,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,0
184,"Rodolphe Saadé",9800,53,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,0
184,"Tanya Saadé Zeenny",9800,55,"France","Logistics",0,2715.518274227,65.6,24.2,60.7,67.059887,1
184,"Melker Schorling & family",9800,75,"Sweden","Finance & Investments",1,530.832908738,67,27.9,49.1,10.285453,0
190,"Andrei Guriev & family",9700,63,"Russia","Manufacturing",1,1699.876578871,81.9,11.4,46.2,144.373535,0
190,"Michael Kim",9700,59,"South Korea","Finance & Investments",1,2029,94.3,15.6,33.2,51.709098,0
190,"Lei Jun",9700,53,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
190,"Friedhelm Loh",9700,76,"Germany","Manufacturing",0,3845.630030824,70.2,11.5,48.8,83.132799,0
190,"Sun Piaoyang",9700,64,"China","Healthcare",1,19910,50.6,9.4,59.2,1397.715,0
195,"Rick Cohen & family",9600,70,"United States","Technology",0,21427.7,88.2,9.6,36.6,328.239523,0
195,"Jin Baofang",9600,70,"China","Energy",1,19910,50.6,9.4,59.2,1397.715,0
195,"Luo Liguo & family",9600,67,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
195,"Marijke Mars",9600,58,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
195,"Pamela Mars",9600,62,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
195,"Valerie Mars",9600,64,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
195,"Victoria Mars",9600,66,"United States","Food & Beverage",0,21427.7,88.2,9.6,36.6,328.239523,1
202,"Vincent Bolloré & family",9500,71,"France","Finance & Investments",0,2715.518274227,65.6,24.2,60.7,67.059887,0
202,"Jim Pattison",9500,94,"Canada","Diversified",1,1736.42562952,68.9,12.8,24.5,36.991981,0
204,"Ernesto Bertarelli",9400,57,"Switzerland","Healthcare",0,703.08243536,59.6,10.1,28.8,8.574832,0
204,"Wang Xing",9400,44,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
206,"Brian Chesky",9300,41,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
206,"James Dyson",9300,75,"United Kingdom","Manufacturing",1,2827.113184696,60,25.5,30.6,66.834405,0
208,"Roman Abramovich & family",9200,56,"Russia","Diversified",1,1699.876578871,81.9,11.4,46.2,144.373535,0
208,"Antonia Ax:son Johnson & family",9200,79,"Sweden","Diversified",0,530.832908738,67,27.9,49.1,10.285453,1
208,"Daniel Kretinsky",9200,47,"Czech Republic","Energy",1,246.489245495,64.1,14.9,46.1,10.669709,0
208,"John Malone",9200,82,"United States","Media & Entertainment",1,21427.7,88.2,9.6,36.6,328.239523,0
208,"Azim Premji",9200,77,"India","Technology",0,2611,28.1,11.2,49.7,1366.417754,0
208,"Charles Schwab",9200,85,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
208,"Eric Smidt",9200,63,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
215,"David Cheriton",9000,72,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
215,"Ivan Glasenberg",9000,66,"Switzerland","Metals & Mining",1,703.08243536,59.6,10.1,28.8,8.574832,0
215,"Alexander Otto",9000,55,"Germany","Real Estate",0,3845.630030824,70.2,11.5,48.8,83.132799,0
215,"Anthony von Mandl",9000,73,"Canada","Food & Beverage",1,1736.42562952,68.9,12.8,24.5,36.991981,0
215,"Wang Liping & family",9000,57,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
220,"Finn Rausing",8900,68,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,0
220,"Jorn Rausing",8900,63,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,0
220,"Kirsten Rausing",8900,70,"United Kingdom","Food & Beverage",0,2827.113184696,60,25.5,30.6,66.834405,1
223,"Tatyana Bakalchuk",8800,47,"Russia","Fashion & Retail",1,1699.876578871,81.9,11.4,46.2,144.373535,1
223,"John Doerr",8800,71,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
223,"Richard Liu",8800,49,"China","Technology",1,19910,50.6,9.4,59.2,1397.715,0
223,"Dustin Moskovitz",8800,38,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
223,"Pierre Omidyar",8800,55,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
223,"Pei Zhenhua",8800,64,"China","Energy",1,19910,50.6,9.4,59.2,1397.715,0
223,"Carrie Perrodo & family",8800,72,"United Kingdom","Energy",0,2827.113184696,60,25.5,30.6,66.834405,1
230,"Chen Jianhua",8700,52,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
230,"Michael Otto",8700,79,"Germany","Fashion & Retail",0,3845.630030824,70.2,11.5,48.8,83.132799,0
232,"Leon Black",8600,71,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
232,"Graeme Hart",8600,67,"New Zealand","Finance & Investments",1,206.928765544,82,29,34.6,4.841,0
232,"Ravi Jaipuria",8600,68,"India","Food & Beverage",0,2611,28.1,11.2,49.7,1366.417754,0
232,"Hasso Plattner & family",8600,79,"Germany","Technology",1,3845.630030824,70.2,11.5,48.8,83.132799,0
232,"Carlos Alberto Sicupira & family",8600,75,"Switzerland","Food & Beverage",1,703.08243536,59.6,10.1,28.8,8.574832,0
232,"Manuel Villar",8600,73,"Philippines","Real Estate",1,376.79550868,35.5,14,43.1,108.116615,0
232,"Andreas von Bechtolsheim & family",8600,67,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
239,"Chase Coleman, III.",8500,47,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
239,"Ann Walton Kroenke",8500,74,"United States","Fashion & Retail",0,21427.7,88.2,9.6,36.6,328.239523,1
239,"Li Zhenguo & family",8500,55,"China","Manufacturing",1,19910,50.6,9.4,59.2,1397.715,0
242,"Jim Kennedy",8400,75,"United States","Media & Entertainment",0,21427.7,88.2,9.6,36.6,328.239523,0
242,"Nicky Oppenheimer & family",8400,77,"South Africa","Metals & Mining",0,351.431649241,22.4,27.5,29.2,58.55827,0
242,"Blair Parry-Okeden",8400,72,"Australia","Media & Entertainment",0,1392.680589329,113.1,23,47.4,25.766605,1
242,"Zheng Shuliang & family",8400,77,"China","Metals & Mining",0,19910,50.6,9.4,59.2,1397.715,1
246,"John Morris",8300,75,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
249,"German Khan",8200,61,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0
249,"Abdulsamad Rabiu",8200,62,"Nigeria","Diversified",0,448.120428859,10.2,1.5,34.8,200.963599,0
249,"George Roberts",8200,79,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
249,"Kushal Pal Singh",8200,91,"India","Real Estate",0,2611,28.1,11.2,49.7,1366.417754,0
249,"Wang Jianlin",8200,68,"China","Real Estate",1,19910,50.6,9.4,59.2,1397.715,0
249,"Yang Huiyan & family",8200,41,"China","Real Estate",0,19910,50.6,9.4,59.2,1397.715,1
256,"Laurent Dassault",8100,69,"France","Diversified",0,2715.518274227,65.6,24.2,60.7,67.059887,0
256,"Thierry Dassault",8100,66,"France","Diversified",0,2715.518274227,65.6,24.2,60.7,67.059887,0
256,"Tilman Fertitta",8100,65,"United States","Food & Beverage",1,21427.7,88.2,9.6,36.6,328.239523,0
256,"Marie-Hélène Habert-Dassault",8100,58,"France","Diversified",0,2715.518274227,65.6,24.2,60.7,67.059887,1
256,"Karel Komarek",8100,54,"Switzerland","Gambling & Casinos",1,703.08243536,59.6,10.1,28.8,8.574832,0
261,"Nathan Blecharczyk",8000,39,"United States","Technology",1,21427.7,88.2,9.6,36.6,328.239523,0
261,"Leonid Fedun",8000,66,"Russia","Energy",1,1699.876578871,81.9,11.4,46.2,144.373535,0
261,"Bernard Marcus",8000,93,"United States","Fashion & Retail",1,21427.7,88.2,9.6,36.6,328.239523,0
261,"Patrick Ryan",8000,85,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
261,"Robert F. Smith",8000,60,"United States","Finance & Investments",1,21427.7,88.2,9.6,36.6,328.239523,0
261,"Pavel Tykac",8000,58,"Czech Republic","Metals & Mining",1,246.489245495,64.1,14.9,46.1,10.669709,0
